numero_de_etiqueta,local,denominacao_de_imobiliario,data_de_chegada
1516054,LIE 01,ACCESS POINT - INDOOR 2X2,26/07/2023
1516025,LIE 01,ACCESS POINT - INDOOR 4X4,25/07/2023
1223874,LIE 01,ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC,11/02/2017
1223878,LIE 01,ARMARIO ALTO POST FORM CINZA C/2 PORTAS/MODILAC,11/02/2017
1226166,LIE 01,ARMARIO BAIXO 2 PRATELEIRAS - MODILAC,20/02/2017
1226167,LIE 01,ARMARIO BAIXO 2 PRATELEIRAS - MODILAC,20/02/2017
1226168,LIE 01,ARMARIO BAIXO 2 PRATELEIRAS - MODILAC,20/02/2017
1226169,LIE 01,ARMARIO BAIXO 2 PRATELEIRAS - MODILAC,20/02/2017
1204990,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1204999,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205001,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205002,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205003,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205004,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205005,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205006,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205007,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205008,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205009,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205010,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205011,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205012,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
1205013,LIE 01,CADEIRA P/ALUNO SALA DE INFORMATICA - CEQUIPEL,20/03/2015
